titre,score,genre,année,durée,description,acteurs,pays
Dial M for Murder,8.2,Crime,1954,1h 45m,A former tennis star arranges the murder of his adulterous wife.,"Ray Milland,Grace Kelly,Robert Cummings",United States
Rashomon,8.2,Crime,1950,1h 28m,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.","Toshirô Mifune,Machiko Kyô,Masayuki Mori",Japan
Monty Python and the Holy Grail,8.2,Adventure,1975,1h 31m,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Graham Chapman,John Cleese,Eric Idle",United Kingdom
Kill Bill: Vol. 1,8.2,Action,2003,1h 51m,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Uma Thurman,David Carradine,Daryl Hannah",United States
The Great Escape,8.2,Adventure,1963,2h 52m,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,"Steve McQueen,James Garner,Richard Attenborough",United States
Yojimbo,8.2,Action,1961,1h 50m,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,"Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai",Japan
The Treasure of the Sierra Madre,8.2,Adventure,1948,2h 6m,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,"Humphrey Bogart,Walter Huston,Tim Holt",United States
No Country for Old Men,8.2,Crime,2007,2h 2m,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"Tommy Lee Jones,Javier Bardem,Josh Brolin",United States
The Thing,8.2,Horror,1982,1h 49m,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,"Kurt Russell,Wilford Brimley,Keith David",United States
Unforgiven,8.2,Drama,1992,2h 10m,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""","Clint Eastwood,Gene Hackman,Morgan Freeman",United States
A Beautiful Mind,8.2,Biography,2001,2h 15m,"A mathematical genius, John Nash made an astonishing discovery early in his career and stood on the brink of international acclaim. But the handsome and arrogant Nash soon found himself on a harrowing journey of self-discovery.","Russell Crowe,Ed Harris,Jennifer Connelly",United States
Pan's Labyrinth,8.2,Drama,2006,1h 58m,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.","Ivana Baquero,Ariadna Gil,Sergi López",Mexico
The Sixth Sense,8.2,Drama,1999,1h 47m,"Malcolm Crowe, a child psychologist, starts treating a young boy, Cole, who encounters dead people and convinces him to help them. In turn, Cole helps Malcolm reconcile with his estranged wife.","Bruce Willis,Haley Joel Osment,Toni Collette",United States
Jurassic Park,8.2,Action,1993,2h 7m,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"Sam Neill,Laura Dern,Jeff Goldblum",United States
Ran,8.2,Action,1985,2h 40m,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.","Tatsuya Nakadai,Akira Terao,Jinpachi Nezu",Japan
